block_size,ray_depth,num_spheres,implementation,run_count,openmp_time_s,kernel_time_s,memory_transfer_time_s,total_without_mem_s,total_with_mem_s,throughput_mpixels_sec,speedup_vs_openmp_kernel,speedup_vs_openmp_with_mem
256,50,200,GLOBAL,9,656.1284444444444,13.458555555555556,0.005555555555555554,13.458555555555556,13.463666666666667,0.030434,48.75150411111112,48.732505333333336
256,50,200,CONSTANT,9,656.1284444444444,12.412666666666667,0.012999999999999998,12.412666666666667,12.425777777777778,0.03299844444444444,52.85954011111111,52.80378611111112
256,50,200,SHARED,9,656.1284444444444,12.48388888888889,0.012999999999999998,12.48388888888889,12.49722222222222,0.03281044444444445,52.558056444444446,52.50296911111111
256,50,200,1D TEXTURE,9,656.1284444444444,13.394555555555556,0.004,13.394555555555556,13.398555555555555,0.03057988888888889,48.98478877777777,48.969731333333335
256,50,200,2D TEXTURE,9,656.1284444444444,13.404444444444444,0.004111111111111111,13.404444444444444,13.408444444444443,0.030556888888888894,48.94847744444444,48.93383722222223
256,50,200,2D TEXTURE + CONSTANT,9,656.1284444444444,12.398888888888889,0.012444444444444444,12.398888888888889,12.411444444444445,0.03303522222222222,52.91839455555556,52.86508144444445
256,50,200,REALISTIC,9,656.1284444444444,13.392666666666667,0.004111111111111111,13.392666666666667,13.39722222222222,0.030583666666666662,48.991332222222226,48.97569744444445
256,50,203,OPENMP,6,665.2883333333333,665.2883333333333,0.0,665.2883333333333,665.2883333333333,0.0006156666666666667,1.0,1.0
256,50,203,GLOBAL,6,665.2883333333333,13.618333333333332,0.0051666666666666675,13.618333333333332,13.622666666666667,0.03007766666666667,48.853337833333335,48.835812
256,50,203,CONSTANT,6,665.2883333333333,12.574166666666665,0.012166666666666668,12.574166666666665,12.586500000000001,0.03257466666666666,52.90894183333333,52.85796466666667
256,50,203,SHARED,6,665.2883333333333,12.669000000000002,0.012166666666666668,12.669000000000002,12.681333333333333,0.032331,52.51324116666667,52.4630275
256,50,203,1D TEXTURE,6,665.2883333333333,13.574999999999998,0.004166666666666667,13.574999999999998,13.579166666666667,0.030173333333333333,49.008765666666676,48.99330966666667
256,50,203,2D TEXTURE,6,665.2883333333333,13.5805,0.006666666666666668,13.5805,13.587166666666667,0.03016066666666667,48.9880355,48.964318833333344
256,50,203,2D TEXTURE + CONSTANT,6,665.2883333333333,12.574,0.014333333333333332,12.574,12.588500000000002,0.03257483333333333,52.90944666666667,52.84871833333333
